company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,emails
ESTIMOTE INC,Other,estimote.com,NEW YORK,NY,10003,(408) 431-3582,2012,13,"Jakub Krzych, Lukasz Kostka, Steven Cheney","Alex Gurevich, Noah Doyle",13841095,13841095,Series A,08-01-2016,,,,,,contact@estimote.com
ESUB INC,Other Technology,esub.com,SAN DIEGO,CA,92121,(858) 759-7266,2016,9,"Benjamin Baltrotsky, Erich Litch, Wendy Rogers","Bobby Ocampo, Brad Rogers, Brian Rich, Casey Eichler, David Golden, Peter Stevenson, Sheldon Lewis, Susan Bihler",25067399,5000000,Seed,28-04-2023,,,,,,contact@esub.com
ETEBASE INC,Other Technology,etebase.com,SAN FRANCISCO,CA,94114,(415) 914-8132,2021,4,Tom Hacohen,,2637000,2637000,Seed,12-03-2021,,,,,,jobs@etebase.com
ETHENA INC,Other,ethena.com,BROOKLYN,NY,11222,(917) 426-0537,2019,6,"Anne Solmssen, Brandis Anderson, Roxanne Petraeus",Victoria Treyger,50619975,29999994,Series B,29-04-2022,,,,,,nicole@ethena.com
ETHEREALIZE INC,Other Technology,etherealize.com,AUSTIN,TX,78738,(224) 715-2106,2024,1,Vivek Raman,,3000000,3000000,Pre-Seed,27-09-2024,,,,,,contact@etherealize.com; press@etherealize.com; Etherealize@DLPR.com
ETERNEVA INC,Other,eterneva.com,AUSTIN,TX,78744,(512) 766-5011,2019,6,"ADELLE ARCHER, Adelle Archer, GARRETT OZAR, Garrett Ozar","Kathryn Cavanaugh, Robert Alvarez",16906587,14936256,Series A,08-07-2021,,,,,,info@eterneva.com
ETHOS LENDING INC,Other Banking and Financial Services,ethoslending.com,SAN FRANCISCO,CA,94104,(415) 780-7400,2017,8,"Adam Carmel, Bill Sakkab, Erik Stern, Karen Gerli, Mark Lefanowicz","Brett Carmel, Cantwell Muckenfuss III",26656261,26656261,Series B,22-05-2017,,,,,,info@ethoslending.com
ETHIKA INC,Other,ethika.com,SAN CLEMENTE,CA,92673,(949) 485-8562,,,Matt Cook,,2000000,2000000,Seed,30-09-2014,,,,,,music@ethika.com
ETHIC INC,Investing,ethic.com,NEW YORK,NY,10013,(917) 524-9947,2015,10,"Douglas Scott, Jordan Lipman","Dan Petrozzo, Jennifer Grancio, John Mair, John Morris, Jordan Lipman, Matt Streisfeld, Stephanie DiMarco",142891930,43999990,Series C,23-01-2025,6,0,100,133370,['Portfolio Manager'],support@ethicinvesting.com
ETHOS LENDING LLC,Other Banking and Financial Services,ethoslending.com,SAN FRANCISCO,CA,94105,(415) 780-7400,2013,12,"Adam Carmel, Erik Stern, Kin Chung, Laura Jeffery, Mark Lefanowicz, Mike Churchill, Mitchell Hochberg, Sean Souther","Brett F. Carmel, Cantwell F. Muckenfuss III, Rajeev Date",25500000,15500000,Series B,14-12-2015,,,,,,info@ethoslending.com
ETHOS TECHNOLOGIES INC,Insurance,ethos.com,SAN FRANCISCO,CA,94105,(415) 915-0665,2016,9,"Anan Kashyap, Lingke Wang, Peter Colis, Vipul Sharma","John Kunze, Khozema Shipchandler, Kyle Doherty, Nate Niparko, Priscilla Hung, Roelof Botha, Tyson Clark",400551167,7456301,Series A,12-01-2022,,,,,,support@ethoslife.com
ETICO FINANCIAL INC,Other Banking and Financial Services,eticofinancial.com,SARATOGA SPRINGS,NY,12866,(800) 433-0422,2025,0,"Joseph A Leo, Kyle A Webber, Scott A Weisman","Michael A Bird, Stephen D. Benjamin",11116677,11116677,Series A,17-04-2025,,,,,,hello@eticofinancial.com
ETSY INC,Other Technology,etsy.io,BROOKLYN,NY,11201,(000) 000-0000,,,"Jeffrey Chad Dickerson, Kristina Chad Salen","Caterina Chad Fake, Daniel Chad Rimer, Fred Chad Wilson, James Chad Breyer, Jonathan Chad Klein",5606127,5606127,Series A,29-04-2014,222,2,99.10714286,186150,"['Senior Software Engineer I, Machine Learning', 'Senior Software Engineer II', 'Senior Product Manager, Search Matching ', 'Engineering Manager, Machine Learning Systems', 'Software Engineer, Knowledge Base Platform']",service@atom.com
EUCLID LABS INC,Other Technology,euclid-labs.com,SAN FRANCISCO,CA,94104,(415) 422-9319,2021,4,"SIDA ZHANG, TAN LU, ZHUOJIE ZHOU, ZHUOJIE ZHUO, ZHUOXUN YIN","TAN LU, ZHUOXUN YIN",203995150,6217875,Series A,14-06-2023,12,0,100,163613,['Business Development ETH Manager '],contact@euclid-labs.com
EULERITY INC,Other Technology,eulerity.com,NEW YORK,NY,10013,(201) 710-0717,2017,8,"Adam Chandler, Giuseppe Ciaramitaro, Tanuj JOSHI, Tanuj Joshi",Todd Belfer,4400000,2000000,Seed,21-06-2022,,,,,,support@eulerity.com; sales@eulerity.com
EUNA TECHNOLOGIES INC,Other Technology,euna.com,SEATTLE,WA,98121,(610) 304-7652,2020,5,Joshua Cohen,,22000000,22000000,Series B,31-12-2020,,,,,,info@euna.com; email@gmail.com
EVANOSTICS LLC,Other Health Care,evanostics.com,LOS GATOS,CA,95032,(408) 827-4378,2016,9,,"Eric F. Rieders, Michael F. Rieders",2000000,2000000,Pre-Seed,04-03-2021,,,,,,john@interserver.net
EVED LLC,Other Technology,eved.com,CHICAGO,IL,60654,(312) 465-5151,2011,14,"Christian Zeck, Christopher Yoo, Talia Mashiach","Bret Maxwell, Julie Silverstein, Matthew McCall, Nancy Phelan, Robert Solomon, Ronald Kenny",16859158,2500000,Pre-Seed,17-09-2020,,,,,,sales@eved.com; help@eved.com
EVENT FARM INC,Other Technology,eventfarm.com,NEWPORT BEACH,CA,92660,(888) 444-8162,2011,14,"Ryan Costello, Todd Cornett","Graham Brooks, Mark Lester, Payal Divakaran",11789590,4614590,Pre-Seed,12-02-2018,,,,,,sales@eventfarm.com; Sales@eventfarm.com; hello@eventfarm.com
EVENTRIC LLC,Other Technology,eventric.com,CHICAGO,IL,60622,(773) 862-4246,,,Paul Bradley,"Andrew Lindner, Branden Harper, Janet Bannister",5085998,5085998,Series A,25-10-2024,,,,,,billing@eventric.com
EVENTSCOM INC,Other,eventscom.com,LA JOLLA,CA,92037,(858) 257-2300,,,"F Mitchell Thrower, F. Mitchell Thrower, Stephen Mitchell Partridge","Douglas Mitchell Harrison, Hany Mitchell Girgis",164637049,100000000,Series A,31-05-2023,,,,,,engage@heardglobal.com
EVERACTIVE INC,Other Technology,everactive.com,SAN JOSE,CA,95131,(434) 987-1090,,,"Benton Calhoun, David Wentzloff, Paul MacMillan, Robert Nunn","George Kastendike, Greg Papadopoulos, Jack Busch, Manny Stockman, Marc Tremblay, Marianne Wu, Telle Whitney",144967344,13403621,Series A,27-08-2024,,,,,,contact@everactive.com
EVERBRIDGE INC,Other Technology,everbridge.com,GLENDALE,CA,91203,(818) 230-9700,,,"David Meredith, Elliot J. Mark, Jaime Ellertson, Jaime J. Ellertson, Patrick Brickley","Alison J. Dean, Bruns Grayson, Cinta Putra, Kent J. Mathy, Kent Mathy, Richard J. D'Amore, Sharon J. Rowlands, Simon J. Paris",10550074,8550074,Series A,07-02-2020,20,0,100,194000,['Sr. Principal Software Engineer [00052910]'],americasbdrleaders@everbridge.com
EVERFUND INC,Other Technology,everfund.com,CHICAGO,IL,60606,(276) 336-4873,2022,3,"Christopher Burns, William De'Ath",Tom Drummond,2214964,2214964,Seed,28-11-2022,,,,,,christopher@everfund.com
EVERGAZE INC,Other Technology,evergaze.com,RICHARDSON,TX,75081,(972) 896-4937,2014,11,Patrick R. Antaki,"ALAN P. ANTAKI, Roger P Antaki",2000000,2000000,Pre-Seed,21-12-2015,,,,,,info@brandbucket.com; sales@brandbucket.com
EVERGAZE HOLDINGS LLC,Other Technology,evergaze.com,RICHARDSON,TX,75081,(972) 896-4937,2016,9,"Patrick R Antaki, Patrick Rami Antaki",,4900000,4900000,Pre-Seed,15-07-2016,,,,,,info@brandbucket.com; sales@brandbucket.com
EVERQUOTE INC,Other Technology,everquote.com,CAMBRIDGE,MA,2139,(617) 245-0615,,,"Can Deniz Akyuz, David Brainard, David Mason, David N. Mason, Eugene N. Suzuki, Jayme Mendal, Jayme N. Mendal, John N. Wagner, John Wagner, Seth Birnbaum, Tomas N. Revesz","Darryl Auguste, David Blundin, David N. Blundin, George Neble, John Giordano, John Lunny, John N. Giordano, John N. Lunny, Jonathan N. Shapiro, Jonathan Shapiro, Mira N. Wilczek, Mira Wilczek, Sanju Bansal, Sanju N. Bansal, Thomas N. Ellis",52440551,14999999,Series A,23-02-2022,56,0,100,117640,"['Senior Cloud Engineer I', 'Senior Quantitative Analyst', 'Senior Engineer ', 'Senior Quantitative Analyst (Business) ', 'Product Manager', 'Quantitative Analyst ']",press@everquote.com
EVERTUNE INC,Other Technology,evertune.com,Accord,NY,12404,(347) 834-6128,2024,1,"Brian Stempeck, Edward Chater, Poul Costinsky","Nihal Mehta, Peter Deng, Poul Costinsky",18999977,14999977,Series A,18-06-2025,,,,,,lee@evertune.com
EVERWRITE INC,Other Technology,everwrite.com,WALNUT,CA,91789,(415) 513-0121,,,Diego Tulio Tomaz Gomes,"Bostjan Tulio Spetic, Edmar Tulio Oliveira Ferreira, Luciano Tulio Tavares, Pedro Tulio Sirotsky Melzer",3260188,3260188,Seed,18-03-2019,,,,,,press@ioninteractive.com
EVERYWHERE APPAREL INC,Other,everywhereapparel.com,CHICAGO,IL,60605,(312) 508-3369,2019,6,Nicholas Benavides,Maxwell Citron,3236674,3236674,Seed,31-12-2020,,,,,,sales@everywhereapparel.com; hello@everywhereapparel.com
EVIDENCE IQ INC,Other Technology,evidenceiq.com,LEMONT,IL,60439,(415) 994-5536,2020,5,"Matthew L. Brady, Robert L. Baker, Steve L. Cintron",,5170000,5170000,Seed,08-02-2024,,,,,,ballistics.questions@leadsonline.com
EVIDENTIO INC,Other Technology,evidentio.com,DUBLIN,CA,94568,(408) 802-0724,2013,12,"Justin Lundy, Timothy Prendergast","Doug Dooley, Enrique Salem, Puneet Agarwal",37699988,21999984,Series B,01-02-2017,,,,,,info@evidencio.com; privacy@evidencio.com
EVISORS INC,Other,evisors.com,NEW YORK,NY,10004,(813) 384-7677,2012,13,Fredrik Maroe,"Michael Becker, Michael Glick",1660000,1660000,Pre-Seed,25-10-2013,,,,,,support@evisors.com
EVOCALIZE INC,Other,evocalize.com,SEATTLE,WA,98161,(800) 935-6891,,,Matthew Marx,"Daniel Lawless, Scott Jacobson",12984588,12984588,Series A,17-12-2021,,,,,,sales@evocalize.com
EVOLUTIONIQ INC,Other Technology,evolutioniq.com,New York,NY,10013,(617) 835-9352,,,"Jonathan Lewin, Michael Saltzman, Tomas Vykruta","Bill Trenchard, John Kim",20151089,20151089,Series B,30-07-2024,,,,,,contact@evolutioniq.com; hello@evolutioniq.com; press@evolutioniq.com
EVOLVE BIOSYSTEMS INC,Biotechnology,evolvebiosystems.com,DAVIS,CA,95618,(530) 554-1556,2011,14,"David J. Kyle, David J. Mills, James J. Campbell, John Bruce Campbell","Anne Bruce Lo, Catherine Bruce Mackey, Daniel Bruce Janney, J. Bruce German, Simon Bruce Barnes",8999996,8999996,Series A,20-07-2015,,,,,,customerservice@infinanthealth.com
EVOLVE BITS INC,Other Technology,evolvebits.com,NEW YORK,NY,10016,(314) 585-6559,2022,3,"Apurv Bansal, Saurabh Agrawal","Anant Puri, Apurv Bansal",3505980,3505980,Seed,26-09-2022,,,,,,contact@evolvebits.com
EVOLVED OUTDOORS INC,Other Technology,evolved-outdoors.com,DALLAS,TX,75225,(901) 574-8384,2019,6,Todd Heinz,,2000000,2000000,Pre-Seed,19-12-2019,,,,,,Evolvedoutdoors1@gmail.com
EVOSHARE INC,Other Technology,evoshare.com,"BERKELEY,",CA,94704,(248) 986-0496,2014,11,"Daniil Tseytlonok, Gretchen Yankanich, Yevgen Prudchyenko",,3600000,3600000,Pre-Seed,01-04-2016,,,,,,info@evoshare.com
EVRY HEALTHCARE INC,Health Insurance,evryhealthcare.com,DALLAS,TX,75228,(214) 675-6495,2017,8,"Christopher E. Gay, Mark E. Jamilkowski",,7635001,7635001,Series A,15-06-2021,,,,,,webmaster@evryhealthcare.com
EX-IQ INC,Other Technology,ex-iq.com,DALLAS,TX,75208,(919) 697-8012,2017,8,Christian C. Donohoe,,1120000,1120000,Pre-Seed,13-06-2019,,,,,,chris@goinflo.com
EXA LABS INC,Other Technology,exa-labs.com,SAN FRANCISCO,CA,94110,(628) 250-3948,2021,4,"Jeffrey Wang, William Bryk",Guru Chahal,20586394,20586394,Series B,13-05-2024,,,,,,info@exa-labs.com
EXACARE INC,Other Technology,exacare.com,NEW YORK,NY,10010,(437) 231-8984,2022,3,"Benjamin Willox, Braedan Russell",Angus Davis,6499999,6499999,Series A,21-12-2022,,,,,,sales@exacare.com
EXADEL INC,Other Technology,exadel.com,WALNUT CREEK,CA,94597,(925) 602-5555,,,"Fima Katz, Greg M. Katzman, Igor M. Landes, Lev M. Shur, Lynne M. Walter","Michael M. Mufson, Raymond M. Parker, Tsvi M. Gal",1740676,1740676,Pre-Seed,06-06-2014,,,,,,privacy@exadel.com; info@exadel.com
EXCELFORE CORP,Other,excelfore.com,FREMONT,CA,94538,(510) 868-2500,,,"Richard A Capen, Shrikant Acharya, Shrinath Acharya",Ajit Medhekar,19640897,4000000,Seed,29-08-2018,,,,,,sales@excelfore.com
EXCLOSURE CORP,Other,exclosure.io,SAN FRANCISCO,CA,94110,(520) 591-5245,2021,4,Matthew Reynold Goodman,,1599215,1599215,Pre-Seed,12-11-2021,,,,,,info@exclosure.io
EXEEST INC,Other,exeest.com,BROOKLYN,NY,11249,(212) 220-4079,2019,6,"Anthony Costanzo, Matteo Cracco",,5900000,2500000,Pre-Seed,24-05-2019,,,,,,info@exeest.com; INFO@EXEEST.COM
EXCELLOS INC,Biotechnology,excellos.com,SAN DIEGO,CA,92101,(858) 472-8732,2020,5,"David Wellis, Ph.D.","Deval Lashkari, Ph.D., Paul Grossman, Ph.D., Robert Finzi, Terance Kinninger",7000000,7000000,Seed,01-08-2023,,,,,,info@excellos.com
EXCEL-LENS INC,Other Technology,excel-lens.com,LOS GATOS,CA,95033,(408) 596-1021,,,"David H. Mordaunt, Tom H. Liolios",,5985000,5985000,Seed,11-09-2020,,,,,,info@excellens.com; %20info@excellens.com
EXIUM INC,Other Technology,exium.io,ALLEN,TX,75002,(972) 816-3302,2019,6,"Farooq Khan, Michael Gallagher",,6250000,6250000,Series A,02-12-2023,,,,,,info@exium.io
EXPANSE 3D INC,Other Technology,expanse3d.com,ALHAMBRA,CA,91803,(303) 552-6655,2017,8,Michael Gimbel,"Andrew Wilson, John Waller",1170599,1170599,Pre-Seed,11-04-2018,,,,,,contact@expanse3d.com
EXPERFY INC,Other Technology,experfy.com,BOSTON,MA,2134,(617) 642-5833,2010,15,Harpreet Singh,Sarabjot Kaur,1500000,1500000,Pre-Seed,27-02-2015,,,,,,training@experfy.com; support@experfy.com; clients@experfy.com; press@experfy.com; experts@experfy.com; alliances@experfy.com; blog@experfy.com
EXPLODING KITTENS INC,Other,explodingkittens.com,LOS ANGELES,CA,90036,(424) 299-8900,2019,6,"Carly Elan McGinnis, Zach Elan Schiff-Abrams","Brian Elan Lee, Jesse Elan Jacobs, Matthew Elan Inman",20000010,20000010,Series B,24-04-2019,,,,,,cs@explodingkittens.com
EXPLORATION LABS INC,Other,explorationlabs.com,SAN FRANCISCO,CA,94114,(408) 747-7545,2014,11,"JASON LEW, SHANE WEY",Andy Sack,1300000,1300000,Pre-Seed,10-11-2014,,,,,,name@explorationlabs.com
EXPLORER COLD BREW INC,Other,explorercoldbrew.com,BROOKLYN,NY,11249,(609) 902-3201,2021,4,"P. Cason Crane, Philip Cason Crane",Matthew Cason Adams,5270351,1050751,Pre-Seed,09-12-2024,,,,,,hello@explorercoldbrew.com
EXPRESSABLE INC,Other Technology,expressable.com,AUSTIN,TX,78752,(512) 768-0319,2020,5,"Benjamin Pincus, Leanne Sherred, Nicholas Barbara, Ryan Hinojosa, Spencer Magloff","Brett Cook, Michael Guiness",48517219,28158177,Series B,03-05-2024,,,,,,info@expressable.io
EXTHYMIC CORP,Other Health Care,exthymic.com,SAN DIEGO,CA,92121,(717) 330-7595,2023,2,Rich Stoner,,10249992,10249992,Series A,30-04-2024,,,,,,future@exthymic.com
EXTHERA MEDICAL CORP,Other Health Care,extheramedical.com,MARTINEZ,CA,94553,(925) 839-2060,,,"Erin Borger, George Pitarra, Kathleen White, Keith McCrea, Lakhmir S. Chawla, Michael S. Benjamin, Michael S. DiMeo, Robert S. Ward, Robert Ward","Eber Jaques, Erin S. Borger, Greg S. Dollarhyde, Jacqueline S. Price, John Feik, John Preston, John S. Preston, Lakhmir Chawla, Lakhmir S. Chawla, Michael S. Porter",77048018,1527456,Pre-Seed,12-08-2024,,,,,,info@extheramedical.com
EXTRACKER INC,Other Technology,extracker.com,Lafayette,CA,94549,(408) 835-9850,2018,7,"Brett Umberg, Cameron Page, Steve Klei",Uri Pomerantz,8054997,7054997,Series A,14-04-2021,,,,,,support@clearstory.build; Support@clearstory.build; info@clearstory.build; Gseldon@clearstory.build; Sales@clearstory.build; sales@clearstory.build
EXXSUN CORP,Electric Utilities,exxsun.com,NEWTON,MA,2459,(646) 939-2870,,,,,,,,,,,,,,Support@ExxSun.com
EYCONIS INC,Other,eyconis.com,REDWOOD CITY,CA,94065,(650) 325-5156,2023,2,"Anna Chen, Daniel Estes, Emmett Cunningham, Gordon Moller Empey, Oliver Boris Stauch","Conrad Wang, Jan Moller Mikkelsen, Yvonne Yamanaka",150001250,150001250,Series C,26-01-2024,,,,,,info@eyconis.com
EYDLE INC,Other Technology,eydle.com,PASADENA,CA,91107,(626) 514-0705,2020,5,Ashwini Rao,Birendra Jha,,,,,,,,,,support@eydle.com
EYE C BETTER CORP,Other Health Care,eyecbetter.com,INDIO,CA,92201,(442) 400-9836,2021,4,Chadwick James Wasilenkoff,Joel Molina Solano,26000000,26000000,Pre-Seed,14-09-2021,,,,,,info@eyecbetter.com
EYENETRA INC,Other Technology,eyenetra.com,Somerville,MA,2143,(973) 229-3341,2011,14,"David Robert Schafran, Steven Carlson","Euan Robert Thomson, Jim Robert McGrann, Ramesh Raskar, Srikanth Nadhamuni",4000005,4000005,Seed,23-07-2014,,,,,,info@eyenetra.com
EYENUK INC,Other Health Care,eyenuk.com,WOODLAND HILLS,CA,91367,(818) 835-3585,2013,12,"Frank Cheng, Kaushal Solanki","Manish Potti, Marie-Louise Little, Martin Coyne, Robert Binney, Zina Affas Besse",35214312,26928767,Series B,03-08-2022,,,,,,sales@eyenuk.com; info@eyenuk.com; alejandro.quinones@eyenuk.com; securityofficer@eyenuk.com; rahul.durani@eyenuk.com; william.dallman@eyenuk.com
EZACCESSMD LLC,Other Health Care,ezaccessmd.com,ROCHESTER,NY,14623,(855) 687-3963,2016,9,"Kevin Phelps, William Irwin","Lois Irwin, Peter Powers",1200000,1200000,Pre-Seed,24-04-2018,,,,,,info@EZaccessMD.com; info@ezaccessmd.com
F-101 INC,Other Technology,f-101.com,NEW YORK,NY,10025,(917) 601-3645,2013,12,Thomas Melcher,,3999993,2000000,Pre-Seed,20-06-2018,,,,,,webmaster@f-101.tommelcher.com
EZCATER INC,Other,ezcater.com,BOSTON,MA,2109,(800) 488-1803,2011,14,"Diane R. Musi, E. Briscoe Rodgers, Edward Briscoe Rodgers, James Briscoe Rosenstock, Robert Briscoe Cruickshank, Stefania Mallett, Stefania Nappi Mallett","Arsham R. Memarzadeh, Bradley Briscoe Twohig, Charles Briscoe Cory, Christopher Briscoe Cuddy, Christopher Michael Cuddy, Douglas Briscoe Suliman, Douglas M. Suliman, Jr., Douglas Michael Suliman, Emily Briscoe Keeton, Emily M. Keeton, Greg Briscoe Stanger, Greg M. Stanger, Harley Briscoe Miller, Michael Briscoe Masterson, P. Michael Masterson",419322287,103399723,Series D+,08-12-2021,,,,,,support@ezcater.com
F9 SYSTEM INC,Other Technology,f9system.com,LACEY,WA,98513,(360) 951-9948,2023,2,Thien Pham,,,,,,,,,,,jobs@F9System.com
FABFOREDEV LLC,Other Technology,fabforedev.com,TAPPAN,NY,10983,(917) 797-1211,2014,11,Martin Rottmann,,1000000,1000000,Pre-Seed,15-11-2017,,,,,,info@fabforedev.com
EZRAIDER CO,Other,ezraider.com,KENT,WA,98032,(833) 724-3378,,,Moshe Azarzar,"Elliot Mermel, Yoav Tilan",1320000,1320000,Pre-Seed,14-09-2021,,,,,,ariels@ezraider.com
FABLE PETS INC,Other,fablepets.com,NEW YORK,NY,10010,(929) 263-4448,2018,7,"Jeremy Canade, Sophie Bakalar",Nancy Flewelling,9923699,9923699,Series A,15-12-2021,,,,,,help@fablepets.com
FABRI INC,Other Technology,fabri.com,BOSTON,MA,2215,(617) 834-4566,2022,3,"Steven Davis, Thomas Cole",Alex Poulin,5199997,5199997,Series A,22-11-2024,,,,,,fran@fabri.com; luci@fabri.com
FACEBOOK INC,Other Technology,facebook.com,MENLO PARK,CA,94025,(650) 618-7714,,,"Christopher K Cox, Colin S Stretch, David B Fischer, David M Wehner, Sheryl K Sandberg","Donald E Graham, Erskine B Bowles, Jan E Koum, Marc L Andreessen, Reed E Hastings",13787117488,13787117488,Series D+,06-10-2014,,,,,,dev7561@gmail.com
FACTAL INC,Other Technology,factal.com,SEATTLE,WA,98104,(425) 761-4065,2017,8,"Benjamin Tesch, Charles Tillinghast, Cory Bergman","Ben Tesch, Cory Bergman, Patrick Meenan",2200001,1000000,Pre-Seed,08-10-2024,,,,,,sales@factal.com
FACTOM INC,Other Technology,factom.com,AUSTIN,TX,78731,(443) 285-9111,2015,10,"Brian Deery, David Johnston, Paul Snow, Peter Kirby, Xujun (Jack) Lu, Zachary Lynde","Brian Deery, David Johnston, Paul Snow, Steve Hopkins, Tina Lawrence, Zhiyong Qin",29218406,15000000,Series A,20-07-2018,,,,,,mtpn@ftr.com; cs@mybet9ja.com
FACTORCHAIN INC,Other Technology,factorchain.ai,PORTOLA VALLEY,CA,94028,(408) 307-0870,2014,11,"Brendan O'Connell, David Frampton, Kenny Tidwell","Michael Dauber, Mike Dauber",3634997,3634997,Seed,12-08-2015,,,,,,info@factorchain.ai
FACTOR LAW INC,Other,factorlaw.com,CHICAGO,IL,60603,(872) 215-3032,2019,6,"John Dillon, Varun Mehta","Alec Guettel, Carol Lindstrom, Jim Madden, Mark Harris",36318547,36318547,Series B,23-09-2020,,,,,,efactor@factorlaw.com
FACTORYFIX INC,Other Technology,factoryfix.com,CHICAGO,IL,60618,(630) 220-4480,2017,8,Patrick O'Rahilly,"Chad Halvorson, Daniel Einhorn, Eli Blee-Goldman, Julia Taxin, Ryan Weber",14549753,9999753,Series A,17-12-2021,,,,,,support@factoryfix.com
FAIR WARNING LLC,Other,fair-warning.com,DALLAS,TX,75201,(480) 703-9403,2017,8,"Dan F. Wierck, Federico F. Taylor, Jonathan Valz",,,,,,,,,,,sarah@fair-warning.com
FAIRWAY BIKES INC,Other Technology,fairwaybikes.com,WOODINVILLE,WA,98077,(734) 478-2708,2023,2,"Alex Wunderlich, David Billmaier, Frank Paganelli, James Billmaier, William Millie",James Billmaier,1500000,1500000,Pre-Seed,13-12-2023,,,,,,info@fairwaybikes.com
FAIRWAYIQ INC,Other Technology,fairwayiq.com,WALTHAM,MA,2451,(781) 472-2726,2015,10,David J. Vanslette,"Kit J. McQuiston, Paul J. Gaumnitz",4500000,1000000,Pre-Seed,14-11-2018,,,,,,dave@fairwayiq.com; hello@fairwayiq.com; mike@fairwayiq.com
FALKONRY INC,Other Technology,falkonry.com,CUPERTINO,CA,95014,(408) 461-9286,2012,13,"Nikunj R Mehta, Pratibha R Mehta","Mark R Gorenberg, Parveen R Jain",8703245,3387133,Seed,11-10-2024,,,,,,info@falkonry.com
FALLCO INVESTMENT LLC,Manufacturing,fallco.com,AUSTIN,TX,78726,(512) 402-7437,2015,10,,"Dan Clarke, Todd Self",1900000,1900000,Pre-Seed,31-01-2016,,,,,,contact@fallco.ca
FAMA TECHNOLOGIES INC,Other Technology,famatechnologies.com,LOS ANGELES,CA,90034,(503) 866-4986,2015,10,"Alec Andronikov, Ben Mones",Mark Mullen,2695507,2695507,Seed,17-04-2017,,,,,,info@famatechnologies.com
FAMILYASSETS GROUP LLC,Other,familyassets.com,BROOKLYN,NY,11222,(929) 405-2097,2016,9,Wes Fuller,,1000000,1000000,Pre-Seed,28-06-2017,,,,,,info@silverassist.com; media@silverassist.com
FANKAVE INC,Other Technology,fankave.com,SANTA CLARA,CA,95054,(408) 654-9696,2013,12,Sasi Parthasarathy,,1500000,1500000,Pre-Seed,12-02-2014,,,,,,jobs@fankave.com
FANWIDE TECHNOLOGIES INC,Other Technology,fanwide.com,Seattle,WA,98104,(302) 307-3267,2016,9,"Jeffrey Paul Sarvas, Symon Perriman",,2000000,2000000,Pre-Seed,06-01-2017,,,,,,Talent@FanWide.com; Teams@FanWide.com; Partners@FanWide.com
FAMILYID INC,Other Technology,familyid.com,WESTON,MA,2493,(781) 790-1139,2010,15,Rochelle Nemrow,"Andrew Moss, Peter Blacklow, Scott Berman",2000000,1000000,Pre-Seed,14-06-2016,,,,,,support@arbitersports.com
